ID, class,sumvalue
257,1,2.8417818080000004
258,0,2.7733093469999996
259,1,1.203671878
260,1,2.061194724
261,0,2.061194724
262,0,1.931194724
263,0,1.921194724
264,1,2.0411947240000003
265,0,0.79
266,0,3.569291973
267,0,1.46734374
268,1,1.8687192719999999
269,1,1.2774494520000002
270,0,2.62
271,0,3.2027430710000004
272,0,2.54
273,0,2.62
274,0,3.362651928
275,1,2.62
276,1,1.5524770190000001
277,1,0.59
278,0,1.176725091
279,0,0.54
280,0,2.609191607
281,1,5.003898717
282,1,1.353671878
283,0,1.766099557
284,0,1.145204586
285,0,0.66
286,0,1.509291973
287,1,0.51
288,0,1.196020965
289,1,3.006254183
290,1,4.8584053990000005
291,0,2.101194724
292,0,1.8009022239999999
293,1,1.239439141
294,0,0.58
295,1,4.234647651
296,0,3.171187712
297,1,0.75
298,0,2.59
299,1,1.4736718780000002
